titulo,autor,anio_publicacion,decada,idioma,categoria,num_ediciones,rating_promedio,num_ratings
Traditions & encounters,Jerry H. Bentley,1999,1990s,English,history,43,4.6666665,3.0
A History of Western Philosophy,Bertrand Russell,1945,1940s,Chinese,history,14,4.1666665,24.0
Letters on demonology and witchcraft,Sir Walter Scott,1830,1830s,English,history,32,4.0,1.0
A Room of One's Own,Virginia Woolf,1929,1920s,Other,history,303,4.324324,37.0
La conquête du pain,Peter Kropotkin,1892,1890s,Portuguese,history,146,4.071429,14.0
Ioannis Zonarae Annales,"Zonaras, Joannes",1841,1840s,Other,history,1,4.0833335,12.0
ההיסטוריה של המחר,Yuval Noah Harari,2015,2010s,English,history,35,4.21875,32.0
The Mother Tongue,Bill Bryson,1656,1650s,English,history,29,3.5625,16.0
The Silk Roads,Peter Frankopan,2015,2010s,English,history,16,4.428571,14.0
Rizal without the overcoat,Ambeth R. Ocampo,1990,1990s,English,history,3,4.7777777,9.0
Der Untergang des Abendlandes,Oswald Spengler,1918,1910s,German,history,139,4.0,1.0
History of the Filipino People,Teodoro A. Agoncillo,1969,1960s,English,history,4,3.7142856,14.0
The worldly philosophers,Robert L. Heilbroner,1953,1950s,Spanish,history,66,4.4680853,47.0
A Walk in the Woods,Bill Bryson,1997,1990s,English,history,35,3.9230769,65.0
History of Africa,Kevin Shillington,1989,1980s,English,history,12,2.5,2.0
The Eagle of the Ninth. 1400 Grundwörter.,Rosemary Sutcliff,1954,1950s,English,history,33,4.0,4.0
Manifest der Kommunistischen Partei,Karl Marx,1848,1840s,German,history,459,3.5454545,77.0
Sleep walkers,Arthur Koestler,1959,1950s,English,history,26,4.3333335,3.0
The Palace of Illusions,Chitra Banerjee Divakaruni,2008,2000s,English,history,3,4.0555553,18.0
Lies My Teacher Told Me,James W. Loewen,1994,1990s,Spanish,history,29,4.0555553,18.0
The Emperor of All Maladies,Siddhartha Mukherjee,2010,2010s,English,history,29,4.0833335,12.0
A Distant Mirror,Barbara Tuchman,1600,1600s,English,history,46,4.0,13.0
A Study of History,Arnold J. Toynbee,1900,1900s,English,history,119,4.5,8.0
Documentary sources of Philippine history,Gregorio F. Zaide,1990,1990s,English,history,1,2.4,5.0
1776,David McCullough,2006,2000s,English,history,1,4.2941175,17.0
P'ing-yang hsien chih,Desconocido,1970,1970s,Chinese,history,1,3.5,12.0
Islam,Karen Armstrong,2000,2000s,English,history,13,4.0,4.0
History of the Decline and Fall of the Roman Empire Complete and Unabridged,Edward Gibbon,1776,1770s,English,history,222,4.5,8.0
"Guns, germs, and steel",Jared M. Diamond,1997,1990s,French,history,58,4.125828,151.0
The business world,Desconocido,1912,1910s,English,history,1,4.25,8.0
The Destruction of black civilisation,Chancellor Williams,1971,1970s,English,history,13,5.0,1.0
A short history of chemistry,Isaac Asimov,1965,1960s,Spanish,history,8,3.0,1.0
History,Herodotus,1494,1490s,Other,history,282,3.875,16.0
Discovering Classical Music,Ian Christians,1991,1990s,English,history,125,3.0,1.0
The world of William Penn,Genevieve Foster,1973,1970s,English,history,4,4.5,2.0
The Great Transformation,Karl Polanyi,1944,1940s,Chinese,history,33,4.0,5.0
A history of India,Romila Thapar,1965,1960s,English,history,8,5.0,4.0
A history of Western architecture,David Watkin,1986,1980s,English,history,10,3.0,1.0
"The Muqaddimah, an introduction to history",Ibn Khaldūn,1858,1850s,Other,history,54,4.857143,7.0
Twelve years a slave,Solomon Northup,1853,1850s,Portuguese,history,1029,4.4545455,11.0
The Story of Civilization I,Will Durant,1935,1930s,English,history,38,4.0,3.0
A short history of nearly everything,Bill Bryson,2003,2000s,German,history,57,4.158416,101.0
"Ancient, Medieval, and Non-European Art",Helen Gardner,1980,1980s,English,history,17,4.0,1.0
America,George Brown Tindall,1984,1980s,English,history,66,4.0,1.0
Siete breves lecciones de física,Carlo Rovelli,2014,2010s,Italian,history,13,3.5517242,29.0
Tragedy of Hyderabad,Mir Laik Ali,1962,1960s,English,history,1,3.6666667,3.0
Prehispanic source materials for the study of Philippine history,William Henry Scott,1984,1980s,English,history,1,3.4285715,7.0
